NPUNID,Core Material,Ligand,Dtem,Zeta Potential,BET,Incubation Concentration (mg/ml),Incubation NP concentration (mg/mL),Dh,Incubation time (h),Incubation Time (minutes),Incubation temperature (℃),Centrifugation
1,Si,none,50,-20,,40,0.1,66,1,60,37,1
2,Si,none,50,-13.5,,40,0.1,44,1,60,37,1
3,SiO2,none,95,-13.5,,4,1,118,1,60,37,1
4,SiO2,none,95,-13.5,,12,1,118,1,60,37,1
5,SiO2,none,95,-13.5,,20,1,118,1,60,37,1
6,PS,none,204,-13.5,,32,1,240,1,60,37,1
7,SiO2,none,79,-13.5,,32,1,112,1,60,37,1
8,DOTAP:DOPC:DC-Chol:DOPE,none,139,-24,,20,0.5,205,0.083333333,4.99999998,25,1
9,DOTAP:DOPC:DC-Chol:DOPE,none,139,-24,,20,0.5,230,0.083333333,4.99999998,25,1
10,DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,131,-25,,20,0.5,150,0.083333333,4.99999998,25,1
11,DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,131,-25,,20,0.5,163,0.083333333,4.99999998,25,1
12,DOTAP:DOPC:DC-Chol:DOPE,none,139,-26,,20,0.5,205,1.5,90,25,1
13,DOTAP:DOPC:DC-Chol:DOPE,none,139,-26,,20,0.5,230,1.5,90,25,1
14,DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,131,-28,,20,0.5,150,1.5,90,25,1
15,DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,131,-28,,20,0.5,163,1.5,90,25,1
16,Fe3O4,SiO2,51,-13.5,,4,0.25,209,24,1440,37,1
17,Fe3O4,none,175.3,-19,,4,0.06,175.3,12,720,37,1
18,Fe3O4,none,178.2,-22.7,,4,0.06,178.2,12,720,37,1
19,SiO2,none,869,-11.6,,4,1,754,1,60,25,1
20,SiO2,none,73,-12.2,,4,1,119,1,60,25,1
21,SiO2,none,914,-20.1,,4,1,1496,1,60,25,1
22,SiO2,none,251,-22.6,,4,1,281,1,60,25,1
23,SiO2,none,482,-37.2,,4,1,525,1,60,25,1
24,SiO2,none,85,-37.7,,4,1,137,1,60,25,1
25,SiO2,BCN,47.02,-16.6,,3.6,0.2,383,1,60,37,1
26,SiO2,BCN,47.02,-18.9,,3.6,0.2,154,1,60,37,1
27,SiO2,BCN,47.02,-18.9,,36,0.2,154,1,60,37,1
28,SiO2,BCN,47.02,-7.9,,36,0.2,634,1,60,37,1
29,Au,CIT,15,-13.5,,4,0.81685,38.88,0,0,37,1
30,Au,CIT,15,-13.5,,4,0.81685,38.88,1,60,37,1
31,Au,CIT,15,-13.5,,4,0.81685,38.88,4,240,37,1
32,Au,CIT,15,-13.5,,4,0.81685,38.88,8,480,37,1
33,Au,CIT,15,-13.5,,4,0.81685,38.88,12,720,37,1
34,Au,CIT,15,-13.5,,4,0.81685,38.88,24,1440,37,1
35,Fe3O4,PVA,7.7,5.6,,31.12,23.54,112.7,1,60,37,1
36,Fe3O4,PVA,7.7,13.6,,31.12,23.54,46.8,1,60,37,1
37,Fe3O4,none,7.7,27.5,,31.12,23.54,28,1,60,37,1
38,Fe3O4,PVA,7.7,34.6,,31.12,23.54,71.8,1,60,37,1
39,Fe3O4,SiO2,100.7,36.8,,31.12,35.653,100.7,1,60,37,1
40,Fe3O4,PVA,7.7,-15.5,,31.12,23.54,78.5,1,60,37,1
41,Fe3O4,TiO2,102.1,-24.9,,31.12,64.825,102.1,1,60,37,1
42,Fe3O4,SiO2,102.1,-36.6,,31.12,35.653,102.1,1,60,37,1
43,Fe3O4,none,143.9,-48.2,,31.12,23.54,143.9,1,60,37,1
44,Ag,CIT,112,-25.1,,4,0.1,120.9,1,60,37,1
45,Ag,CIT,20.5,-25.3,,4,0.1,23.4,1,60,37,1
46,Ag,PVP,112,-25.5,,4,0.1,113.2,1,60,37,1
47,Ag,PVP,21,-27.9,,4,0.1,22.9,1,60,37,1
48,Ag,PVP,112,-30,,4,0.1,121.5,1,60,37,1
49,Ag,PVP,21,-35.9,,4,0.1,26.6,1,60,37,1
50,Ag,CIT,112,-43.6,,4,0.1,104.5,1,60,37,1
51,Ag,CIT,20.5,-46.6,,4,0.1,24.4,1,60,37,1
