Entry,Abundance_Controls,,,,,,,,,,,,
A0A1B0GTC6,6.69E-08,,,,,,,,,,,,
A0AVT1,2.77E-10,,,,,,,,,,,,
A0FGR8,5.53E-10,,,,,,,,,,,,
A0MZ66,0,,,,,,,,,,,,
A1L4H1,2.03E-06,,,,,,,,,,,,
Q8WTU2,2.26E-08,,,,,,,,,,,,
A2VDF0,4.61E-08,,,,,,,,,,,,
A5YKK6,0,,,,,,,,,,,,
A6ND91,4.61E-09,,,,,,,,,,,,
A6NDG6,5.76E-09,,,,,,,,,,,,
A6NFA1,9.45E-10,,,,,,,,,,,,
Q86V40,4.15E-10,,,,,,,,,,,,
A6NGN9,3.46E-10,,,,,,,,,,,,
A6NLP5,2.31E-09,,,,,,,,,,,,
A8MVW5,4.84E-09,,,,,,,,,,,,
B1AKI9,3.92E-10,,,,,,,,,,,,
B2RUZ4,7.84E-09,,,,,,,,,,,,
I3L3R5,2.03E-10,,,,,,,,,,,,
M5A8F1,1.31E-09,,,,,,,,,,,,
O00115,1.29E-08,,,,,,,,,,,,
O00116,1.59E-09,,,,,,,,,,,,
O00139,6.92E-09,,,,,,,,,,,,
O00151,2.14E-06,,,,,,,,,,,,
Q53GG5,5.53E-09,,,,,,,,,,,,
O00154,5.99E-10,,,,,,,,,,,,
O00161,8.99E-08,,,,,,,,,,,,
O00170,3.00E-10,,,,,,,,,,,,
O00193,2.31E-09,,,,,,,,,,,,
O00231,2.19E-09,,,,,,,,,,,,
O00232,1.68E-09,,,,,,,,,,,,
O00233,1.15E-08,,,,,,,,,,,,
O00244,1.82E-08,,,,,,,,,,,,
O00264,2.77E-08,,,,,,,,,,,,
O15173,1.75E-09,,,,,,,,,,,,
O00273,2.01E-10,,,,,,,,,,,,
O00299,5.07E-07,,,,,,,,,,,,
O15247,3.46E-09,,,,,,,,,,,,
Q96NY7,4.15E-09,,,,,,,,,,,,
Q9NZA1,9.22E-09,,,,,,,,,,,,
Q9Y696,1.34E-07,,,,,,,,,,,,
O00300,0,,,,,,,,,,,,
O00303,1.91E-09,,,,,,,,,,,,
O00339,3.46E-08,,,,,,,,,,,,
O00429,4.61E-08,,,,,,,,,,,,
O00442,8.76E-10,,,,,,,,,,,,
O00451,2.07E-07,,,,,,,,,,,,
O00461,2.31E-08,,,,,,,,,,,,
O00468,4.61E-07,,,,,,,,,,,,
O00469,4.84E-10,,,,,,,,,,,,
O00483,1.15E-09,,,,,,,,,,,,
O00487,5.99E-10,,,,,,,,,,,,
O00533,0.000133707,,,,,,,,,,,,
O00548,1.59E-08,,,,,,,,,,,,
O00560,3.00E-08,,,,,,,,,,,,
O00567,0,,,,,,,,,,,,
O00584,3.46E-07,,,,,,,,,,,,
O00625,8.07E-10,,,,,,,,,,,,
O00505,0,,,,,,,,,,,,
O00629,2.54E-09,,,,,,,,,,,,
O00743,0,,,,,,,,,,,,
O00754,7.38E-08,,,,,,,,,,,,
O00764,1.91E-08,,,,,,,,,,,,
O00767,0,,,,,,,,,,,,
O14498,3.00E-06,,,,,,,,,,,,
O14545,0,,,,,,,,,,,,
O14558,7.15E-09,,,,,,,,,,,,
O14561,2.31E-09,,,,,,,,,,,,
O14579,1.52E-09,,,,,,,,,,,,
O14617,6.45E-10,,,,,,,,,,,,
O14618,4.38E-09,,,,,,,,,,,,
O14639,1.38E-10,,,,,,,,,,,,
O14656,4.61E-10,,,,,,,,,,,,
O14672,1.59E-08,,,,,,,,,,,,
O14737,1.08E-09,,,,,,,,,,,,
O14745,2.17E-08,,,,,,,,,,,,
O14773,2.19E-07,,,,,,,,,,,,
O14775,0,,,,,,,,,,,,
O14776,3.92E-10,,,,,,,,,,,,
O14828,1.73E-09,,,,,,,,,,,,
O14841,7.84E-10,,,,,,,,,,,,
O14880,6.22E-10,,,,,,,,,,,,
O14907,2.77E-09,,,,,,,,,,,,
O14908,2.54E-10,,,,,,,,,,,,
O14929,6.22E-10,,,,,,,,,,,,
O14949,4.15E-10,,,,,,,,,,,,
O14960,1.22E-07,,,,,,,,,,,,
O14980,9.45E-09,,,,,,,,,,,,
O15027,1.11E-09,,,,,,,,,,,,
O15031,1.80E-06,,,,,,,,,,,,
O15067,1.54E-08,,,,,,,,,,,,
O15116,5.07E-10,,,,,,,,,,,,
O15117,1.43E-07,,,,,,,,,,,,
O15127,1.64E-09,,,,,,,,,,,,
O15143,3.00E-07,,,,,,,,,,,,
Q92747,1.75E-08,,,,,,,,,,,,
