Entry,Abundance_Controls,,,,,,,,,,,,
A0A1B0GTC6,3.20E-07,,,,,,,,,,,,
A0AVT1,1.32E-09,,,,,,,,,,,,
A0FGR8,2.65E-09,,,,,,,,,,,,
A0MZ66,0,,,,,,,,,,,,
A1L4H1,9.71E-06,,,,,,,,,,,,
Q8WTU2,1.08E-07,,,,,,,,,,,,
A2VDF0,2.21E-07,,,,,,,,,,,,
A5YKK6,0,,,,,,,,,,,,
A6ND91,2.21E-08,,,,,,,,,,,,
A6NDG6,2.76E-08,,,,,,,,,,,,
A6NFA1,4.53E-09,,,,,,,,,,,,
Q86V40,1.99E-09,,,,,,,,,,,,
A6NGN9,1.66E-09,,,,,,,,,,,,
A6NLP5,1.10E-08,,,,,,,,,,,,
A8MVW5,2.32E-08,,,,,,,,,,,,
B1AKI9,1.88E-09,,,,,,,,,,,,
B2RUZ4,3.75E-08,,,,,,,,,,,,
I3L3R5,9.71E-10,,,,,,,,,,,,
M5A8F1,6.29E-09,,,,,,,,,,,,
O00115,6.18E-08,,,,,,,,,,,,
O00116,7.62E-09,,,,,,,,,,,,
O00139,3.31E-08,,,,,,,,,,,,
O00151,1.03E-05,,,,,,,,,,,,
Q53GG5,2.65E-08,,,,,,,,,,,,
O00154,2.87E-09,,,,,,,,,,,,
O00161,4.31E-07,,,,,,,,,,,,
O00170,1.44E-09,,,,,,,,,,,,
O00193,1.10E-08,,,,,,,,,,,,
O00231,1.05E-08,,,,,,,,,,,,
O00232,8.06E-09,,,,,,,,,,,,
O00233,5.52E-08,,,,,,,,,,,,
O00244,8.72E-08,,,,,,,,,,,,
O00264,1.32E-07,,,,,,,,,,,,
O15173,8.39E-09,,,,,,,,,,,,
O00273,9.60E-10,,,,,,,,,,,,
O00299,2.43E-06,,,,,,,,,,,,
O15247,1.66E-08,,,,,,,,,,,,
Q96NY7,1.99E-08,,,,,,,,,,,,
Q9NZA1,4.42E-08,,,,,,,,,,,,
Q9Y696,6.40E-07,,,,,,,,,,,,
O00300,0,,,,,,,,,,,,
O00303,9.16E-09,,,,,,,,,,,,
O00339,1.66E-07,,,,,,,,,,,,
O00429,2.21E-07,,,,,,,,,,,,
O00442,4.19E-09,,,,,,,,,,,,
O00451,9.94E-07,,,,,,,,,,,,
O00461,1.10E-07,,,,,,,,,,,,
O00468,2.21E-06,,,,,,,,,,,,
O00469,2.32E-09,,,,,,,,,,,,
O00483,5.52E-09,,,,,,,,,,,,
O00487,2.87E-09,,,,,,,,,,,,
O00533,0.000640288,,,,,,,,,,,,
O00548,7.62E-08,,,,,,,,,,,,
O00560,1.44E-07,,,,,,,,,,,,
O00567,0,,,,,,,,,,,,
O00584,1.66E-06,,,,,,,,,,,,
O00625,3.86E-09,,,,,,,,,,,,
O00505,0,,,,,,,,,,,,
O00629,1.21E-08,,,,,,,,,,,,
O00743,0,,,,,,,,,,,,
O00754,3.53E-07,,,,,,,,,,,,
O00764,9.16E-08,,,,,,,,,,,,
O00767,0,,,,,,,,,,,,
O14498,1.44E-05,,,,,,,,,,,,
O14545,0,,,,,,,,,,,,
O14558,3.42E-08,,,,,,,,,,,,
O14561,1.10E-08,,,,,,,,,,,,
O14579,7.29E-09,,,,,,,,,,,,
O14617,3.09E-09,,,,,,,,,,,,
O14618,2.10E-08,,,,,,,,,,,,
O14639,6.62E-10,,,,,,,,,,,,
O14656,2.21E-09,,,,,,,,,,,,
O14672,7.62E-08,,,,,,,,,,,,
O14737,5.19E-09,,,,,,,,,,,,
O14745,1.04E-07,,,,,,,,,,,,
O14773,1.05E-06,,,,,,,,,,,,
O14775,0,,,,,,,,,,,,
O14776,1.88E-09,,,,,,,,,,,,
O14828,8.28E-09,,,,,,,,,,,,
O14841,3.75E-09,,,,,,,,,,,,
O14880,2.98E-09,,,,,,,,,,,,
O14907,1.32E-08,,,,,,,,,,,,
O14908,1.21E-09,,,,,,,,,,,,
O14929,2.98E-09,,,,,,,,,,,,
O14949,1.99E-09,,,,,,,,,,,,
O14960,5.85E-07,,,,,,,,,,,,
O14980,4.53E-08,,,,,,,,,,,,
O15027,5.30E-09,,,,,,,,,,,,
O15031,8.61E-06,,,,,,,,,,,,
O15067,7.40E-08,,,,,,,,,,,,
